"Frequency (Hz)";"Absolute Amplitude (a.u.)"
1.113281250E4;9.462369570E-2
1.115625000E4;2.262386472E-2
1.117968750E4;3.689334821E-2
1.120312500E4;7.994934483E-4
1.122656250E4;2.122400558E-2
1.125000000E4;5.539769689E-2
1.127343750E4;2.144882448E-2
1.129687500E4;7.983752374E-2
1.132031250E4;1.137720837E-1
1.134375000E4;5.172227754E-2
1.136718750E4;9.019867554E-2
1.139062500E4;5.037783912E-2
1.141406250E4;5.758591169E-2
1.143750000E4;8.061711882E-2
1.146093750E4;2.546170686E-2
1.148437500E4;3.267156291E-2
1.150781250E4;9.803007209E-2
1.153125000E4;8.060735470E-2
1.155468750E4;8.907910483E-2
1.157812500E4;4.913525645E-2
1.160156250E4;2.975898272E-2
1.162500000E4;1.783637012E-2
1.164843750E4;2.663386625E-2
1.167187500E4;1.434526687E-2
1.169531250E4;2.483441798E-2
1.171875000E4;4.723357429E-2
1.174218750E4;3.431264742E-2
1.176562500E4;5.730286182E-2
1.178906250E4;4.344920623E-3
1.181250000E4;5.037846802E-2
1.183593750E4;4.226998785E-2
1.185937500E4;1.088374301E-2
1.188281250E4;6.173085643E-2
1.190625000E4;3.862531097E-2
1.192968750E4;6.584736598E-3
1.195312500E4;2.856167736E-2
1.197656250E4;2.961613502E-2
1.200000000E4;1.728011191E-2
1.202343750E4;2.034395006E-2
1.204687500E4;4.214265698E-2
1.207031250E4;3.739172339E-2
1.209375000E4;7.447529153E-2
1.211718750E4;7.560861240E-2
1.214062500E4;2.473446755E-2
1.216406250E4;1.635914452E-1
1.218750000E4;5.987398009E-2
1.221093750E4;4.432663797E-3
1.223437500E4;2.385707353E-2
1.225781250E4;2.073469192E-2
1.228125000E4;3.939318050E-2
1.230468750E4;2.013875025E-2
1.232812500E4;3.731461398E-2
1.235156250E4;2.880130089E-2
1.237500000E4;3.328507537E-3
1.239843750E4;7.608746427E-3
1.242187500E4;2.201799383E-2
1.244531250E4;1.210705562E-2
1.246875000E4;1.250414334E-2
1.249218750E4;6.806282804E-3
1.251562500E4;8.694801242E-3
1.253906250E4;4.231758383E-2
1.256250000E4;1.838614177E-2
1.258593750E4;4.438334225E-2
1.260937500E4;1.720971843E-2
1.263281250E4;1.859927576E-2
1.265625000E4;1.894076706E-2
1.267968750E4;1.567665975E-2
1.270312500E4;9.922936715E-3
1.272656250E4;2.450879173E-2
1.275000000E4;4.768689075E-2
1.277343750E4;1.874671428E-2
1.279687500E4;2.636000799E-2
1.282031250E4;2.815870553E-2
1.284375000E4;7.257751211E-3
1.286718750E4;9.525483125E-3
1.289062500E4;1.840607102E-2
