"Time (s)";"Recording (a.u.)"
5.687500000E-3;1.736991573E-3
5.708333333E-3;3.566989908E-3
5.729166667E-3;2.521839691E-3
5.750000000E-3;1.376653905E-3
5.770833333E-3;1.793966512E-3
5.791666667E-3;2.077692188E-3
5.812500000E-3;1.635544701E-3
5.833333333E-3;1.171258860E-3
5.854166667E-3;8.228315273E-4
5.875000000E-3;1.289353822E-3
5.895833333E-3;1.880763448E-3
5.916666667E-3;3.810394264E-4
5.937500000E-3;-6.316592917E-4
5.958333333E-3;1.824921696E-3
5.979166667E-3;3.365176730E-3
6.000000000E-3;1.187682501E-3
6.020833333E-3;-9.882067097E-4
6.041666667E-3;-5.609259824E-4
6.062500000E-3;1.282342244E-3
6.083333333E-3;1.409077435E-3
6.104166667E-3;-6.698435172E-4
6.125000000E-3;-1.383164432E-3
6.145833333E-3;2.644381893E-4
6.166666667E-3;5.101095885E-4
6.187500000E-3;-1.221053069E-3
6.208333333E-3;-1.018169336E-3
6.229166667E-3;-1.903194643E-4
6.250000000E-3;-1.321729505E-3
6.270833333E-3;-1.640448230E-3
6.291666667E-3;-6.429213681E-4
6.312500000E-3;-8.114284137E-4
6.333333333E-3;-1.206569257E-3
6.354166667E-3;-3.473731631E-4
6.375000000E-3;-7.790444652E-4
6.395833333E-3;-1.824949286E-3
6.416666667E-3;-6.062966422E-4
6.437500000E-3;2.206762838E-5
6.458333333E-3;-1.355890417E-3
6.479166667E-3;-1.853695605E-3
6.500000000E-3;-9.964921046E-4
6.520833333E-3;-9.287127759E-4
6.541666667E-3;-1.295670285E-3
6.562500000E-3;-9.164768853E-4
6.583333333E-3;-1.499712002E-3
6.604166667E-3;-2.023993293E-3
6.625000000E-3;-6.350374315E-4
6.645833333E-3;-1.460941567E-4
6.666666667E-3;-1.656091306E-3
6.687500000E-3;-1.761117601E-3
6.708333333E-3;8.349317068E-5
6.729166667E-3;3.456724517E-4
6.750000000E-3;-1.331299078E-3
6.770833333E-3;-1.928166603E-3
6.791666667E-3;-1.009891275E-3
6.812500000E-3;-6.670212606E-4
6.833333333E-3;-7.018627948E-4
6.854166667E-3;-2.199703449E-4
6.875000000E-3;-1.477249170E-4
