"Frequency (Hz)";"Absolute Amplitude (a.u.)"
9.679687500E3;4.098277266E-2
9.703125000E3;4.855943011E-2
9.726562500E3;4.764685924E-2
9.750000000E3;3.905717915E-2
9.773437500E3;5.992554950E-2
9.796875000E3;2.692334229E-2
9.820312500E3;7.012028126E-3
9.843750000E3;3.707695917E-2
9.867187500E3;2.021868466E-2
9.890625000E3;2.936189706E-2
9.914062500E3;5.355379397E-2
9.937500000E3;1.744270918E-2
9.960937500E3;3.380605719E-2
9.984375000E3;5.729204963E-2
1.000781250E4;1.766840335E-2
1.003125000E4;6.171144050E-2
1.005468750E4;1.381478402E-2
1.007812500E4;3.536751065E-2
1.010156250E4;2.273888567E-2
1.012500000E4;5.285043894E-2
1.014843750E4;6.848587242E-2
1.017187500E4;9.984199227E-2
1.019531250E4;6.731743189E-2
1.021875000E4;7.434615678E-2
1.024218750E4;3.710127444E-2
1.026562500E4;1.472166813E-2
1.028906250E4;2.475869907E-2
1.031250000E4;2.209739377E-2
1.033593750E4;1.663323402E-2
1.035937500E4;1.078106280E-2
1.038281250E4;1.607309652E-2
1.040625000E4;1.557745024E-2
1.042968750E4;1.378252411E-2
1.045312500E4;1.848834952E-2
1.047656250E4;1.168812903E-2
1.050000000E4;1.042482900E-2
1.052343750E4;9.912977683E-3
1.054687500E4;2.953297563E-2
1.057031250E4;1.001792697E-2
1.059375000E4;2.909356894E-2
1.061718750E4;2.520859121E-2
1.064062500E4;3.086128134E-3
1.066406250E4;1.710283340E-2
1.068750000E4;4.401056260E-2
1.071093750E4;3.346066355E-2
1.073437500E4;4.366483720E-2
1.075781250E4;3.678939590E-2
1.078125000E4;3.889131726E-2
1.080468750E4;2.649651103E-2
1.082812500E4;2.428326097E-2
1.085156250E4;2.302462005E-2
1.087500000E4;2.594527709E-2
1.089843750E4;5.317827397E-2
1.092187500E4;8.832209106E-2
1.094531250E4;6.609022767E-2
1.096875000E4;5.522951532E-2
1.099218750E4;2.956783941E-2
1.101562500E4;2.693627352E-2
1.103906250E4;1.464192013E-2
1.106250000E4;3.598795388E-2
1.108593750E4;6.631416436E-2
1.110937500E4;5.277965621E-2
1.113281250E4;7.871705502E-2
1.115625000E4;5.126774409E-2
1.117968750E4;2.608344030E-2
1.120312500E4;6.196976222E-2
1.122656250E4;4.991707721E-2
1.125000000E4;6.422213432E-3
1.127343750E4;6.666906522E-2
1.129687500E4;1.048270284E-1
1.132031250E4;8.867658731E-2
1.134375000E4;3.397021610E-2
1.136718750E4;6.858309321E-2
1.139062500E4;2.236700561E-2
1.141406250E4;2.418130660E-2
1.143750000E4;1.948563007E-2
1.146093750E4;7.248335112E-2
1.148437500E4;6.768367986E-2
1.150781250E4;9.496610849E-2
1.153125000E4;3.078805227E-2
1.155468750E4;2.865834908E-2
1.157812500E4;4.009941092E-2
1.160156250E4;7.940096245E-2
1.162500000E4;8.005826068E-2
1.164843750E4;1.561412646E-1
1.167187500E4;9.881125183E-2
1.169531250E4;8.162232336E-2
1.171875000E4;5.546889076E-2
1.174218750E4;7.795223314E-2
1.176562500E4;6.700190992E-2
1.178906250E4;8.800131655E-2
1.181250000E4;9.235776671E-2
1.183593750E4;7.098514676E-2
1.185937500E4;3.686588944E-2
1.188281250E4;3.997176766E-2
1.190625000E4;4.465791544E-2
1.192968750E4;3.995326919E-2
1.195312500E4;5.681671371E-2
1.197656250E4;4.354112668E-2
1.200000000E4;2.310228121E-2
1.202343750E4;7.365405117E-3
1.204687500E4;2.587450125E-3
1.207031250E4;3.104702652E-2
1.209375000E4;5.567968252E-2
1.211718750E4;3.652015894E-2
1.214062500E4;2.741235119E-2
1.216406250E4;1.970959975E-2
1.218750000E4;4.590104485E-2
1.221093750E4;2.877337175E-2
1.223437500E4;1.286768706E-2
1.225781250E4;6.913079006E-2
1.228125000E4;4.049658484E-2
1.230468750E4;2.649901648E-2
1.232812500E4;3.093770695E-2
1.235156250E4;4.027907975E-2
1.237500000E4;4.285207640E-2
1.239843750E4;3.710176491E-2
1.242187500E4;6.217187105E-2
1.244531250E4;1.128905844E-1
1.246875000E4;1.048507473E-1
1.249218750E4;9.157662540E-2
1.251562500E4;4.317939874E-2
1.253906250E4;2.867534392E-2
1.256250000E4;1.913200766E-2
1.258593750E4;5.050853795E-2
1.260937500E4;2.624707458E-2
1.263281250E4;3.701434069E-2
1.265625000E4;6.855873491E-2
1.267968750E4;2.919856570E-2
1.270312500E4;6.817155297E-3
1.272656250E4;1.553231220E-2
1.275000000E4;2.854031899E-2
1.277343750E4;2.206948218E-2
1.279687500E4;6.418149276E-3
1.282031250E4;3.628460484E-2
1.284375000E4;4.466874748E-2
1.286718750E4;2.486184249E-2
1.289062500E4;1.927804093E-2
1.291406250E4;1.365563462E-2
1.293750000E4;1.464029420E-2
1.296093750E4;1.447982037E-2
1.298437500E4;1.257281341E-2
1.300781250E4;2.422264483E-2
1.303125000E4;5.696691738E-2
