"Time (s)";"Recording (a.u.)"
5.229166667E-3;-2.518895781E-3
5.250000000E-3;-2.779846312E-3
5.270833333E-3;-2.973214025E-3
5.291666667E-3;-2.799081849E-3
5.312500000E-3;-2.559765941E-3
5.333333333E-3;-2.556860913E-3
5.354166667E-3;-2.528436482E-3
5.375000000E-3;-2.431195928E-3
5.395833333E-3;-2.042666543E-3
5.416666667E-3;-1.796949306E-3
5.437500000E-3;-1.797132660E-3
5.458333333E-3;-1.575377188E-3
5.479166667E-3;-1.334990840E-3
5.500000000E-3;-1.162010711E-3
5.520833333E-3;-1.107059419E-3
5.541666667E-3;-7.870467380E-4
5.562500000E-3;-6.009888020E-4
5.583333333E-3;-8.644892951E-4
5.604166667E-3;-6.694827462E-4
5.625000000E-3;-4.566557473E-4
5.645833333E-3;-8.162959130E-4
5.666666667E-3;-1.262703910E-3
5.687500000E-3;-1.141940127E-3
5.708333333E-3;-7.498671184E-4
5.729166667E-3;-7.263326552E-4
5.750000000E-3;-5.782695371E-4
5.770833333E-3;-2.402664686E-4
5.791666667E-3;-1.959111250E-4
5.812500000E-3;-2.348966227E-4
5.833333333E-3;-1.310745138E-4
5.854166667E-3;1.327075443E-4
5.875000000E-3;8.275212022E-4
5.895833333E-3;1.638415270E-3
5.916666667E-3;1.936779590E-3
5.937500000E-3;2.094656229E-3
5.958333333E-3;2.298845211E-3
5.979166667E-3;2.331898548E-3
6.000000000E-3;2.453497378E-3
6.020833333E-3;2.522451803E-3
6.041666667E-3;2.296366030E-3
6.062500000E-3;2.151757013E-3
6.083333333E-3;2.066459274E-3
6.104166667E-3;1.852230984E-3
6.125000000E-3;1.990434714E-3
6.145833333E-3;2.213777276E-3
6.166666667E-3;1.770123723E-3
6.187500000E-3;1.086205360E-3
6.208333333E-3;7.403242635E-4
6.229166667E-3;9.298677323E-4
6.250000000E-3;1.175953657E-3
6.270833333E-3;9.579581092E-4
6.291666667E-3;7.657022798E-4
6.312500000E-3;5.726059899E-4
6.333333333E-3;3.059664159E-4
6.354166667E-3;2.627028152E-4
6.375000000E-3;3.377110697E-4
6.395833333E-3;5.671652616E-4
6.416666667E-3;7.471858989E-4
6.437500000E-3;5.163768074E-4
6.458333333E-3;3.387694596E-4
6.479166667E-3;5.417438224E-4
6.500000000E-3;4.924070672E-4
6.520833333E-3;9.488895739E-5
6.541666667E-3;2.028727613E-4
6.562500000E-3;6.313191261E-4
6.583333333E-3;6.617316976E-4
6.604166667E-3;3.916794958E-4
6.625000000E-3;1.826021035E-4
6.645833333E-3;1.437037572E-4
6.666666667E-3;-1.187808593E-4
6.687500000E-3;-3.590413253E-4
6.708333333E-3;-3.260132216E-4
6.729166667E-3;-3.687061544E-4
6.750000000E-3;-5.121977301E-4
6.770833333E-3;-8.598027052E-4
6.791666667E-3;-1.280076569E-3
6.812500000E-3;-1.689514029E-3
6.833333333E-3;-2.144826343E-3
6.854166667E-3;-2.495610155E-3
6.875000000E-3;-2.538468223E-3
6.895833333E-3;-2.364806831E-3
6.916666667E-3;-2.459302777E-3
6.937500000E-3;-2.354937606E-3
6.958333333E-3;-1.813901588E-3
6.979166667E-3;-1.513785217E-3
7.000000000E-3;-1.570357010E-3
7.020833333E-3;-1.503833802E-3
7.041666667E-3;-9.938343428E-4
7.062500000E-3;-4.649139883E-4
7.083333333E-3;-2.294622755E-5
7.104166667E-3;2.296132297E-4
7.125000000E-3;3.287441214E-4
7.145833333E-3;8.532014326E-4
7.166666667E-3;1.263325801E-3
7.187500000E-3;1.278340584E-3
7.208333333E-3;1.378239482E-3
7.229166667E-3;1.423741458E-3
7.250000000E-3;1.188514172E-3
7.270833333E-3;1.020666328E-3
7.291666667E-3;1.074695145E-3
7.312500000E-3;9.773210622E-4
7.333333333E-3;1.034389599E-3
7.354166667E-3;1.106236014E-3
7.375000000E-3;6.979660830E-4
7.395833333E-3;4.203615536E-4
7.416666667E-3;4.691203940E-4
7.437500000E-3;3.712367034E-4
7.458333333E-3;-5.944953955E-5
7.479166667E-3;-3.886086051E-4
7.500000000E-3;-1.861950732E-4
7.520833333E-3;-5.949464685E-5
