"Frequency (Hz)";"Absolute Amplitude (a.u.)"
9.539062500E3;4.428429893E-2
9.562500000E3;3.022544565E-2
9.585937500E3;2.093788178E-2
9.609375000E3;3.474221648E-2
9.632812500E3;3.972906664E-2
9.656250000E3;4.022962017E-2
9.679687500E3;9.150692485E-3
9.703125000E3;2.708959247E-2
9.726562500E3;1.683212249E-2
9.750000000E3;1.843740057E-2
9.773437500E3;3.415353610E-2
9.796875000E3;3.215976822E-2
9.820312500E3;4.784647455E-2
9.843750000E3;2.474828136E-2
9.867187500E3;4.249017774E-2
9.890625000E3;3.032736339E-2
9.914062500E3;5.100583616E-2
9.937500000E3;3.493951059E-2
9.960937500E3;3.153298422E-2
9.984375000E3;4.275155375E-2
1.000781250E4;5.644021515E-2
1.003125000E4;2.609985638E-2
1.005468750E4;4.309000194E-2
1.007812500E4;2.045683288E-2
1.010156250E4;6.541247118E-3
1.012500000E4;2.476646769E-2
1.014843750E4;2.059107891E-2
1.017187500E4;1.980808218E-2
1.019531250E4;2.238347943E-2
1.021875000E4;2.308768933E-2
1.024218750E4;2.414112122E-2
1.026562500E4;2.201539858E-2
1.028906250E4;3.520689378E-2
1.031250000E4;2.184504000E-2
1.033593750E4;1.044781913E-2
1.035937500E4;1.746314538E-2
1.038281250E4;2.321932559E-2
1.040625000E4;4.001325797E-2
1.042968750E4;7.307503484E-3
1.045312500E4;3.665412612E-2
1.047656250E4;1.498145729E-2
1.050000000E4;2.954077330E-2
1.052343750E4;1.703288565E-2
1.054687500E4;5.387774847E-2
1.057031250E4;5.235306305E-2
1.059375000E4;3.154722108E-2
1.061718750E4;2.756642204E-2
1.064062500E4;1.455459338E-2
1.066406250E4;8.645312736E-3
1.068750000E4;3.842411574E-2
1.071093750E4;1.448422849E-2
1.073437500E4;5.765601737E-2
1.075781250E4;6.278942914E-2
1.078125000E4;4.025188043E-2
1.080468750E4;4.866558042E-3
1.082812500E4;4.171507312E-2
1.085156250E4;1.911320043E-2
1.087500000E4;6.641270757E-3
1.089843750E4;1.113544635E-2
1.092187500E4;5.702366131E-3
1.094531250E4;4.817564736E-3
1.096875000E4;2.163803760E-2
1.099218750E4;1.435426600E-2
1.101562500E4;3.666558979E-2
1.103906250E4;2.060920020E-2
1.106250000E4;1.913698976E-2
1.108593750E4;3.076101857E-2
1.110937500E4;2.110156779E-2
1.113281250E4;2.994104985E-2
