"Time (s)";"Recording (a.u.)"
1.145833333E-2;3.542264923E-3
1.147916667E-2;3.368275939E-3
1.150000000E-2;4.628638737E-3
1.152083333E-2;5.124651827E-3
1.154166667E-2;4.111695103E-3
1.156250000E-2;4.172262736E-3
1.158333333E-2;6.103087217E-3
1.160416667E-2;7.297946606E-3
1.162500000E-2;6.856245454E-3
1.164583333E-2;7.036333904E-3
1.166666667E-2;7.723353803E-3
1.168750000E-2;7.603810634E-3
1.170833333E-2;7.348831743E-3
1.172916667E-2;8.045110852E-3
1.175000000E-2;9.326666594E-3
1.177083333E-2;9.750198573E-3
1.179166667E-2;9.629217908E-3
1.181250000E-2;9.271736257E-3
1.183333333E-2;8.431657217E-3
1.185416667E-2;7.820826955E-3
1.187500000E-2;7.922412828E-3
1.189583333E-2;9.130977094E-3
1.191666667E-2;1.005039178E-2
1.193750000E-2;8.795527741E-3
1.195833333E-2;7.002588827E-3
1.197916667E-2;6.900281645E-3
1.200000000E-2;7.670964580E-3
1.202083333E-2;7.380608935E-3
1.204166667E-2;6.810341030E-3
1.206250000E-2;7.700163871E-3
1.208333333E-2;8.363051340E-3
1.210416667E-2;7.376242895E-3
1.212500000E-2;6.293723825E-3
1.214583333E-2;5.714724772E-3
1.216666667E-2;5.237037782E-3
1.218750000E-2;5.221778993E-3
1.220833333E-2;5.723054521E-3
1.222916667E-2;5.655842833E-3
1.225000000E-2;4.456701688E-3
1.227083333E-2;3.207448637E-3
1.229166667E-2;2.729917178E-3
1.231250000E-2;2.939594211E-3
1.233333333E-2;2.752408618E-3
1.235416667E-2;1.165819354E-3
1.237500000E-2;-5.320338096E-5
1.239583333E-2;6.806965685E-4
1.241666667E-2;1.707991585E-3
1.243750000E-2;1.468012924E-3
1.245833333E-2;1.004591002E-3
1.247916667E-2;1.517282450E-3
1.250000000E-2;1.984629314E-3
1.252083333E-2;1.630661427E-3
1.254166667E-2;1.047268161E-3
1.256250000E-2;-1.533273171E-4
